0,1,2,3,4,5,6
Total,16,17,8,14,18,
Episode 8: A couple of Ethels. (11 November 2021),,,,,,
1,Prize: Best thing you use for something other than its actual purpose.,4,5,3,2,1
2,"Make and wear a popcorn necklace with at least five pieces of popcorn and then do the opposite of the following: You must under no circumstances not avoid not making the bell not ring. The task is over when you have either rung the bell or not rung the bell and said ""I did the right thing"" three times. Fastest to not do the wrong thing wins. If you don't do the right thing, you lose five points.",4,-5,5,3,-5
3,Team: Play the most brilliant minute of socially-distanced sport.,5,5,5,5,5
"Team: Provide the most iconic and memorable commentary for this brilliant one minute of socially-distanced sport. One of you must commentate on the action, another must provide analysis. Best commentary on the most brilliant socially-distanced sport wins.",,,,,,
4,Make your face look like another face when your face is turned upside-down. Most expressive and radically different upside-down face wins.,5,2,4,4,5
5,"Live: Pop up before the object, but only just. You are only allowed to pop up once. Closest to the pop before the pop wins the round. If you pop up after the object, you get no points that round.",3,2,4,5,3
T,Blow the feather across the table using only your nose.,✔,–,✘,–,–
Total,21,9,21,19,9,
Episode 9: Nothing matters. (18 November 2021),,,,,,
1,Prize: 40 things that are all the same and can all fit on a towel and are the best.,5,4,3,1,2
2,"Have the longest telephone conversation without the other person knowing you are trying to have a long telephone conversation. During the call, you must not mention television or Taskmaster. Every minute, you must reveal and carry out an action from the board. If the person you call says any of the key words, you must hang up immediately. You must call someone within two minutes from now.",1,5,3,2,4
3,Strike the soldier with your throwing paint. The soldier will say your name every five seconds. You may not remove or tamper with your helmet. Fastest wins.,1,4,3,5,2
4,Get goosebumps. Your goosebumps must be revealed in the lab. Fastest wins.,4,3,DQ,5,DQ
5,"Team Live: Get the highest score by sliding your ducks. Each team will slide a pair of ducks three times. The duck slider must smirk at the Taskmaster whilst sliding their ducks. The winning team will receive five points per person, the losing team will get zero.",0,5,5,5,0
Total,11,21,14,18,8,
Episode 10: Caring Uncle Minpict. (25 November 2021),,,,,,
1,Prize: Most magnificent floppy thing.,4,5,4,2,1
2,Drink all this drink with your mouth open. Your mouth must be visibly open throughout. Fastest wins.,3,5,4,2,1
3,"Team: Using your whole body to make individual characters, describe the Taskmaster. Your description must be a minimum of 20 characters long. Most vivid description wins.",5,-,-,4,-
"Team: Work out what your teammate's tasks are. You must stay in the caravan and must not communicate with your teammates in any way. After 10 minutes, you must write down what you think their tasks were. Best guesser wins.",-,4,-,-,5,
"Lick a chocolate button, stick it on your forehead, then transfer the chocolate button to your mouth without touching it with your hands or leaving the chair.",-,-,4,-,-,
4,Propose to Alex in the most irresistible way.,4,4,5,5,3
5,"Live: One at a time, make a noise without the Taskmaster identifying you. The person who makes the most unidentifiable noises wins.",3,3,5,5,3
Total,19,21,22,18,13,
Grand Total,161,161,167,168,121,
