0,1,2,3,4,5,6
3,Choose an outfit for the contestant after you alphabetically to wear in a future task.,4,5,2,3,2
"While properly wearing the outfit chosen for you, work out the flavours of these crisps.",,,,,,
4,Do the most powerful thing with your little finger.,3,5,2,3,2
5,Team Live: Do not release the green egg. Teams will take turns pulling a numbered string in response to a question. The string with the correct answer will not release the egg. You must pull a new number each time.,0,5,0,0,5
Total,10,24,13,13,11,
Episode 8: Aquatic sewing machine. (26 June 2019),,,,,,
1,Prize: Nicest thing to hold.,3,4,2,5,3
2,Make the best portrait of a former Taskmaster contestant using sand and one tool. You must randomly select your tool with the die. Only air may touch the sand.,5,2,2,4,1
3,"Team: Catch the red balls in things from the shed. Catch the yellow balls in clothing. Don't let the green balls touch anything other than the grass. Catch the blue ball with something from the kitchen. Red balls are 1 point, yellow balls are 2 points, the blue ball is 5 points, and you lose 2 points for every green ball that touches anything other than the grass.",5,DQ,5,5,DQ
4,Get the beach ball across the finishing line. Only water can touch the beach ball.,5,1,3 1,2,4 1
5,Live: Complete the five-syllable word started by the Taskmaster. An earlier guess scores more points. Guess incorrectly and lose all your points.,0,0,0,5,0
Total,18,7,12 1,21,8 1,
Episode 9: I've been a bit ill. (3 July 2019),,,,,,
1,Prize: Best form of protection.,4,3,5,4,3
2,Bounce one of the balls into the bin. Most bounces between propulsion of the ball and landing in the bin wins. You must use the first ball you touch.,3,1,5,2,4
3,Devise the most delicious dust and serve it in this dustpan.,5,4,1,3,2
4,Team: Make yourselves look like one person. Your time starts when one of you looks at another.,3,2,3,3,2
"Team: Remaining as one, put on these Wellington boots, eat the banana and put the banana skin in the yellow bin.",1,4,1,1,4,
5,"Live: Stack the most bowls and plates on your head alternately and one at a time. You must only stack while standing upright, and you may not touch any bowls or plates you've already stacked.",3,2,5,4,1
Total,19,16,20,17,16,
Episode 10: Clumpy swayey clumsy man. (10 July 2019),,,,,,
1,Prize: Best thing that will change your life for the better.,5,4,3,3,2
2,Completely erase this eraser.,5,1,3,4,2
Bonus for fully erasing the eraser,0,3,0,0,0,
Bonus for attempting to eat the eraser,0,0,1,0,0,
3,Make the most tremendous pair of legs. You may order up to 5 items.,3,1,4,2,5
4,Follow the instructions on the signs through the course and park the buggy at the end. You must wear the blindfold. You have 10 minutes to prepare your journey.,5,3,1,2,4
5,"Live: Correctly wearing the goggles, hook your duck and hold it above your head.",0,0,0,0,0
Total,18,12,12,11,13,
Grand Total,156,150,164,136,143,
