,Unnamed: 0,season,task_episode,task_description,task_contestant,task_score
22,22,COC 1,Episode 1: Wiley giraffe blower. (13 December 2017),Live: Write down a word beginning with T every time Alex blows his whistle. The second-longest word takes a step down. Whoever writes down the longest word misses a turn. If you write down one of Alex's special words you advance an extra step. First to reach the floor wins.,Katherine Ryan,4
23,23,COC 1,Episode 1: Wiley giraffe blower. (13 December 2017),Live: Write down a word beginning with T every time Alex blows his whistle. The second-longest word takes a step down. Whoever writes down the longest word misses a turn. If you write down one of Alex's special words you advance an extra step. First to reach the floor wins.,Noel Fielding,5
24,24,COC 1,Episode 1: Wiley giraffe blower. (13 December 2017),Live: Write down a word beginning with T every time Alex blows his whistle. The second-longest word takes a step down. Whoever writes down the longest word misses a turn. If you write down one of Alex's special words you advance an extra step. First to reach the floor wins.,Rob Beckett,4
25,25,COC 1,Episode 2: I've sinned again. (20 December 2017),Sing along to the Taskmaster theme tune.,Bob Mortimer,0
26,26,COC 1,Episode 2: I've sinned again. (20 December 2017),Sing along to the Taskmaster theme tune.,Josh Widdicombe,0
27,27,COC 1,Episode 2: I've sinned again. (20 December 2017),Sing along to the Taskmaster theme tune.,Katherine Ryan,0
28,28,COC 1,Episode 2: I've sinned again. (20 December 2017),Sing along to the Taskmaster theme tune.,Noel Fielding,0
29,29,COC 1,Episode 2: I've sinned again. (20 December 2017),Sing along to the Taskmaster theme tune.,Rob Beckett,0
30,30,COC 1,Episode 2: I've sinned again. (20 December 2017),Prize: Best thing.,Bob Mortimer,3
31,31,COC 1,Episode 2: I've sinned again. (20 December 2017),Prize: Best thing.,Josh Widdicombe,3
32,32,COC 1,Episode 2: I've sinned again. (20 December 2017),Prize: Best thing.,Katherine Ryan,1
33,33,COC 1,Episode 2: I've sinned again. (20 December 2017),Prize: Best thing.,Noel Fielding,4
34,34,COC 1,Episode 2: I've sinned again. (20 December 2017),Prize: Best thing.,Rob Beckett,5
35,35,COC 1,Episode 2: I've sinned again. (20 December 2017),"Open, or try to guess what is inside the briefcase.",Bob Mortimer,2
36,36,COC 1,Episode 2: I've sinned again. (20 December 2017),"Open, or try to guess what is inside the briefcase.",Josh Widdicombe,4
37,37,COC 1,Episode 2: I've sinned again. (20 December 2017),"Open, or try to guess what is inside the briefcase.",Katherine Ryan,1
38,38,COC 1,Episode 2: I've sinned again. (20 December 2017),"Open, or try to guess what is inside the briefcase.",Noel Fielding,5
39,39,COC 1,Episode 2: I've sinned again. (20 December 2017),"Open, or try to guess what is inside the briefcase.",Rob Beckett,3
40,40,COC 1,Episode 2: I've sinned again. (20 December 2017),Make a mask that tastes delicious and looks great. The mask must be entirely edible and entirely wearable. Wear your mask so that Alex can taste it.,Bob Mortimer,5
41,41,COC 1,Episode 2: I've sinned again. (20 December 2017),Make a mask that tastes delicious and looks great. The mask must be entirely edible and entirely wearable. Wear your mask so that Alex can taste it.,Josh Widdicombe,4
42,42,COC 1,Episode 2: I've sinned again. (20 December 2017),Make a mask that tastes delicious and looks great. The mask must be entirely edible and entirely wearable. Wear your mask so that Alex can taste it.,Katherine Ryan,3
43,43,COC 1,Episode 2: I've sinned again. (20 December 2017),Make a mask that tastes delicious and looks great. The mask must be entirely edible and entirely wearable. Wear your mask so that Alex can taste it.,Noel Fielding,2
44,44,COC 1,Episode 2: I've sinned again. (20 December 2017),Make a mask that tastes delicious and looks great. The mask must be entirely edible and entirely wearable. Wear your mask so that Alex can taste it.,Rob Beckett,2
45,45,COC 1,Episode 2: I've sinned again. (20 December 2017),Make the biggest mess and completely clear it up.,Bob Mortimer,1
46,46,COC 1,Episode 2: I've sinned again. (20 December 2017),Make the biggest mess and completely clear it up.,Josh Widdicombe,3
47,47,COC 1,Episode 2: I've sinned again. (20 December 2017),Make the biggest mess and completely clear it up.,Katherine Ryan,5
48,48,COC 1,Episode 2: I've sinned again. (20 December 2017),Make the biggest mess and completely clear it up.,Noel Fielding,4
49,49,COC 1,Episode 2: I've sinned again. (20 December 2017),Make the biggest mess and completely clear it up.,Rob Beckett,4
50,50,COC 1,Episode 2: I've sinned again. (20 December 2017),Live: Record the highest total number of steps on your pedometers. You must not touch your blindfold.,Bob Mortimer,2
51,51,COC 1,Episode 2: I've sinned again. (20 December 2017),Live: Record the highest total number of steps on your pedometers. You must not touch your blindfold.,Josh Widdicombe,4
52,52,COC 1,Episode 2: I've sinned again. (20 December 2017),Live: Record the highest total number of steps on your pedometers. You must not touch your blindfold.,Katherine Ryan,5
53,53,COC 1,Episode 2: I've sinned again. (20 December 2017),Live: Record the highest total number of steps on your pedometers. You must not touch your blindfold.,Noel Fielding,1
54,54,COC 1,Episode 2: I've sinned again. (20 December 2017),Live: Record the highest total number of steps on your pedometers. You must not touch your blindfold.,Rob Beckett,3
55,0,COC 2,Episode 1: The fastest duck. (1 January 2021),Prize: Best thing to bring to a party.,John Hannah,1
56,1,COC 2,Episode 1: The fastest duck. (1 January 2021),Prize: Best thing to bring to a party.,Krishnan Guru-Murthy,2
57,2,COC 2,Episode 1: The fastest duck. (1 January 2021),Prize: Best thing to bring to a party.,Nicola Coughlan,4
58,3,COC 2,Episode 1: The fastest duck. (1 January 2021),Prize: Best thing to bring to a party.,Rylan Clark-Neal,3
59,4,COC 2,Episode 1: The fastest duck. (1 January 2021),Prize: Best thing to bring to a party.,Shirley Ballas,5
60,5,COC 2,Episode 1: The fastest duck. (1 January 2021),Get the biggest thing through the doughnut without breaking it.,John Hannah,2
61,6,COC 2,Episode 1: The fastest duck. (1 January 2021),Get the biggest thing through the doughnut without breaking it.,Krishnan Guru-Murthy,3
62,7,COC 2,Episode 1: The fastest duck. (1 January 2021),Get the biggest thing through the doughnut without breaking it.,Nicola Coughlan,1
63,8,COC 2,Episode 1: The fastest duck. (1 January 2021),Get the biggest thing through the doughnut without breaking it.,Rylan Clark-Neal,5
64,9,COC 2,Episode 1: The fastest duck. (1 January 2021),Get the biggest thing through the doughnut without breaking it.,Shirley Ballas,4
65,10,COC 2,Episode 1: The fastest duck. (1 January 2021),Sculpt the scene on the other side of this wall.,John Hannah,3
66,11,COC 2,Episode 1: The fastest duck. (1 January 2021),Sculpt the scene on the other side of this wall.,Krishnan Guru-Murthy,4
67,12,COC 2,Episode 1: The fastest duck. (1 January 2021),Sculpt the scene on the other side of this wall.,Nicola Coughlan,2
68,13,COC 2,Episode 1: The fastest duck. (1 January 2021),Sculpt the scene on the other side of this wall.,Rylan Clark-Neal,5
69,14,COC 2,Episode 1: The fastest duck. (1 January 2021),Sculpt the scene on the other side of this wall.,Shirley Ballas,1
70,15,COC 2,Episode 1: The fastest duck. (1 January 2021),"Build the lightest tower on this set of scales. You may not move the scales or tape anything to them. You may not tamper with the fan. The fan will be on for one minute every other minute. Your tower must be taller than a wolf at the end, and stand by itself for 10 seconds.",John Hannah,5
71,16,COC 2,Episode 1: The fastest duck. (1 January 2021),"Build the lightest tower on this set of scales. You may not move the scales or tape anything to them. You may not tamper with the fan. The fan will be on for one minute every other minute. Your tower must be taller than a wolf at the end, and stand by itself for 10 seconds.",Krishnan Guru-Murthy,4
72,17,COC 2,Episode 1: The fastest duck. (1 January 2021),"Build the lightest tower on this set of scales. You may not move the scales or tape anything to them. You may not tamper with the fan. The fan will be on for one minute every other minute. Your tower must be taller than a wolf at the end, and stand by itself for 10 seconds.",Nicola Coughlan,0
73,18,COC 2,Episode 1: The fastest duck. (1 January 2021),"Build the lightest tower on this set of scales. You may not move the scales or tape anything to them. You may not tamper with the fan. The fan will be on for one minute every other minute. Your tower must be taller than a wolf at the end, and stand by itself for 10 seconds.",Rylan Clark-Neal,0
74,19,COC 2,Episode 1: The fastest duck. (1 January 2021),"Build the lightest tower on this set of scales. You may not move the scales or tape anything to them. You may not tamper with the fan. The fan will be on for one minute every other minute. Your tower must be taller than a wolf at the end, and stand by itself for 10 seconds.",Shirley Ballas,3
75,20,COC 2,Episode 1: The fastest duck. (1 January 2021),"Live: Select an object. If you select the same object as another contestant, you will lose one actual point.",John Hannah,-1
76,21,COC 2,Episode 1: The fastest duck. (1 January 2021),"Live: Select an object. If you select the same object as another contestant, you will lose one actual point.",Krishnan Guru-Murthy,-1
77,22,COC 2,Episode 1: The fastest duck. (1 January 2021),"Live: Select an object. If you select the same object as another contestant, you will lose one actual point.",Nicola Coughlan,-1
78,23,COC 2,Episode 1: The fastest duck. (1 January 2021),"Live: Select an object. If you select the same object as another contestant, you will lose one actual point.",Rylan Clark-Neal,0
79,24,COC 2,Episode 1: The fastest duck. (1 January 2021),"Live: Select an object. If you select the same object as another contestant, you will lose one actual point.",Shirley Ballas,-1
80,0,New Years,Episode 1: Basic recipe 28. (1 January 2022),"Prize: Most beguiling, unwieldy, shiny thing.",Adrian Chiles,3
81,1,New Years,Episode 1: Basic recipe 28. (1 January 2022),"Prize: Most beguiling, unwieldy, shiny thing.",Claudia Winkleman,1
82,2,New Years,Episode 1: Basic recipe 28. (1 January 2022),"Prize: Most beguiling, unwieldy, shiny thing.",Jonnie Peacock,4
83,3,New Years,Episode 1: Basic recipe 28. (1 January 2022),"Prize: Most beguiling, unwieldy, shiny thing.",Lady Leshurr,5
84,4,New Years,Episode 1: Basic recipe 28. (1 January 2022),"Prize: Most beguiling, unwieldy, shiny thing.",Sayeeda Warsi,2
85,5,New Years,Episode 1: Basic recipe 28. (1 January 2022),"Put the egg in the eggcup in the most daring way. If the egg breaks, you are disqualified.",Adrian Chiles,5
86,6,New Years,Episode 1: Basic recipe 28. (1 January 2022),"Put the egg in the eggcup in the most daring way. If the egg breaks, you are disqualified.",Claudia Winkleman,2
87,7,New Years,Episode 1: Basic recipe 28. (1 January 2022),"Put the egg in the eggcup in the most daring way. If the egg breaks, you are disqualified.",Jonnie Peacock,0
88,8,New Years,Episode 1: Basic recipe 28. (1 January 2022),"Put the egg in the eggcup in the most daring way. If the egg breaks, you are disqualified.",Lady Leshurr,3
89,9,New Years,Episode 1: Basic recipe 28. (1 January 2022),"Put the egg in the eggcup in the most daring way. If the egg breaks, you are disqualified.",Sayeeda Warsi,4
90,10,New Years,Episode 1: Basic recipe 28. (1 January 2022),Drink all the vinegar. Fastest wins.,Adrian Chiles,5
91,11,New Years,Episode 1: Basic recipe 28. (1 January 2022),Drink all the vinegar. Fastest wins.,Claudia Winkleman,0
92,12,New Years,Episode 1: Basic recipe 28. (1 January 2022),Drink all the vinegar. Fastest wins.,Jonnie Peacock,4
93,13,New Years,Episode 1: Basic recipe 28. (1 January 2022),Drink all the vinegar. Fastest wins.,Lady Leshurr,0
94,14,New Years,Episode 1: Basic recipe 28. (1 January 2022),Drink all the vinegar. Fastest wins.,Sayeeda Warsi,0
95,15,New Years,Episode 1: Basic recipe 28. (1 January 2022),"Choose a length for this pole, then guide it through the course. The person who completes the course with the longest pole wins. Every time your pole touches something other than your hands, 10cm will be taken from its length.",Adrian Chiles,5
96,16,New Years,Episode 1: Basic recipe 28. (1 January 2022),"Choose a length for this pole, then guide it through the course. The person who completes the course with the longest pole wins. Every time your pole touches something other than your hands, 10cm will be taken from its length.",Claudia Winkleman,1
97,17,New Years,Episode 1: Basic recipe 28. (1 January 2022),"Choose a length for this pole, then guide it through the course. The person who completes the course with the longest pole wins. Every time your pole touches something other than your hands, 10cm will be taken from its length.",Jonnie Peacock,4
98,18,New Years,Episode 1: Basic recipe 28. (1 January 2022),"Choose a length for this pole, then guide it through the course. The person who completes the course with the longest pole wins. Every time your pole touches something other than your hands, 10cm will be taken from its length.",Lady Leshurr,3
99,19,New Years,Episode 1: Basic recipe 28. (1 January 2022),"Choose a length for this pole, then guide it through the course. The person who completes the course with the longest pole wins. Every time your pole touches something other than your hands, 10cm will be taken from its length.",Sayeeda Warsi,2
100,20,New Years,Episode 1: Basic recipe 28. (1 January 2022),Live: Choose a ball.,Adrian Chiles,4
101,21,New Years,Episode 1: Basic recipe 28. (1 January 2022),Live: Choose a ball.,Claudia Winkleman,2
102,22,New Years,Episode 1: Basic recipe 28. (1 January 2022),Live: Choose a ball.,Jonnie Peacock,3
103,23,New Years,Episode 1: Basic recipe 28. (1 January 2022),Live: Choose a ball.,Lady Leshurr,1
104,24,New Years,Episode 1: Basic recipe 28. (1 January 2022),Live: Choose a ball.,Sayeeda Warsi,5
105,0,Series 1,Episode 1: Melon buffet. (28 July 2015),Prize: Most unusual item.,Frank Skinner,4
106,1,Series 1,Episode 1: Melon buffet. (28 July 2015),Prize: Most unusual item.,Josh Widdicombe,1
107,2,Series 1,Episode 1: Melon buffet. (28 July 2015),Prize: Most unusual item.,Roisin Conaty,2
108,3,Series 1,Episode 1: Melon buffet. (28 July 2015),Prize: Most unusual item.,Romesh Ranganathan,3
109,4,Series 1,Episode 1: Melon buffet. (28 July 2015),Prize: Most unusual item.,Tim Key,5
110,5,Series 1,Episode 1: Melon buffet. (28 July 2015),Eat as much watermelon as possible in one minute.,Frank Skinner,2
111,6,Series 1,Episode 1: Melon buffet. (28 July 2015),Eat as much watermelon as possible in one minute.,Josh Widdicombe,3
112,7,Series 1,Episode 1: Melon buffet. (28 July 2015),Eat as much watermelon as possible in one minute.,Roisin Conaty,1
113,8,Series 1,Episode 1: Melon buffet. (28 July 2015),Eat as much watermelon as possible in one minute.,Romesh Ranganathan,5
114,9,Series 1,Episode 1: Melon buffet. (28 July 2015),Eat as much watermelon as possible in one minute.,Tim Key,4
115,10,Series 1,Episode 1: Melon buffet. (28 July 2015),Paint the best picture of a horse whilst riding a horse.,Frank Skinner,5
116,11,Series 1,Episode 1: Melon buffet. (28 July 2015),Paint the best picture of a horse whilst riding a horse.,Josh Widdicombe,3
117,12,Series 1,Episode 1: Melon buffet. (28 July 2015),Paint the best picture of a horse whilst riding a horse.,Roisin Conaty,1
118,13,Series 1,Episode 1: Melon buffet. (28 July 2015),Paint the best picture of a horse whilst riding a horse.,Romesh Ranganathan,4
119,14,Series 1,Episode 1: Melon buffet. (28 July 2015),Paint the best picture of a horse whilst riding a horse.,Tim Key,2
120,15,Series 1,Episode 1: Melon buffet. (28 July 2015),Completely empty this bathtub without removing the plug or tipping or damaging the bathtub.,Frank Skinner,4
121,16,Series 1,Episode 1: Melon buffet. (28 July 2015),Completely empty this bathtub without removing the plug or tipping or damaging the bathtub.,Josh Widdicombe,3
122,17,Series 1,Episode 1: Melon buffet. (28 July 2015),Completely empty this bathtub without removing the plug or tipping or damaging the bathtub.,Roisin Conaty,2
123,18,Series 1,Episode 1: Melon buffet. (28 July 2015),Completely empty this bathtub without removing the plug or tipping or damaging the bathtub.,Romesh Ranganathan,5
124,19,Series 1,Episode 1: Melon buffet. (28 July 2015),Completely empty this bathtub without removing the plug or tipping or damaging the bathtub.,Tim Key,1
125,20,Series 1,Episode 1: Melon buffet. (28 July 2015),Live: Pop on a onesie inside a pop-up tent.,Frank Skinner,4
126,21,Series 1,Episode 1: Melon buffet. (28 July 2015),Live: Pop on a onesie inside a pop-up tent.,Josh Widdicombe,3
127,22,Series 1,Episode 1: Melon buffet. (28 July 2015),Live: Pop on a onesie inside a pop-up tent.,Roisin Conaty,1
128,23,Series 1,Episode 1: Melon buffet. (28 July 2015),Live: Pop on a onesie inside a pop-up tent.,Romesh Ranganathan,2
129,24,Series 1,Episode 1: Melon buffet. (28 July 2015),Live: Pop on a onesie inside a pop-up tent.,Tim Key,5
130,25,Series 1,Episode 1: Melon buffet. (28 July 2015),Find Alex.,Frank Skinner,1
131,26,Series 1,Episode 1: Melon buffet. (28 July 2015),Find Alex.,Josh Widdicombe,0
132,27,Series 1,Episode 1: Melon buffet. (28 July 2015),Find Alex.,Roisin Conaty,0
133,28,Series 1,Episode 1: Melon buffet. (28 July 2015),Find Alex.,Romesh Ranganathan,0
134,29,Series 1,Episode 1: Melon buffet. (28 July 2015),Find Alex.,Tim Key,0
135,30,Series 1,Episode 2: The pie whisperer. (4 August 2015),Prize: Most impressive item.,Frank Skinner,4
136,31,Series 1,Episode 2: The pie whisperer. (4 August 2015),Prize: Most impressive item.,Josh Widdicombe,2
137,32,Series 1,Episode 2: The pie whisperer. (4 August 2015),Prize: Most impressive item.,Roisin Conaty,3
138,33,Series 1,Episode 2: The pie whisperer. (4 August 2015),Prize: Most impressive item.,Romesh Ranganathan,1
139,34,Series 1,Episode 2: The pie whisperer. (4 August 2015),Prize: Most impressive item.,Tim Key,5
140,35,Series 1,Episode 2: The pie whisperer. (4 August 2015),High-five a 55-year-old.,Frank Skinner,2
141,36,Series 1,Episode 2: The pie whisperer. (4 August 2015),High-five a 55-year-old.,Josh Widdicombe,5
142,37,Series 1,Episode 2: The pie whisperer. (4 August 2015),High-five a 55-year-old.,Roisin Conaty,4
143,38,Series 1,Episode 2: The pie whisperer. (4 August 2015),High-five a 55-year-old.,Romesh Ranganathan,1
144,39,Series 1,Episode 2: The pie whisperer. (4 August 2015),High-five a 55-year-old.,Tim Key,3
145,40,Series 1,Episode 2: The pie whisperer. (4 August 2015),Identify the contents of pies without breaching the pastry.,Frank Skinner,1
146,41,Series 1,Episode 2: The pie whisperer. (4 August 2015),Identify the contents of pies without breaching the pastry.,Josh Widdicombe,2
147,42,Series 1,Episode 2: The pie whisperer. (4 August 2015),Identify the contents of pies without breaching the pastry.,Roisin Conaty,4
148,43,Series 1,Episode 2: The pie whisperer. (4 August 2015),Identify the contents of pies without breaching the pastry.,Romesh Ranganathan,3
149,44,Series 1,Episode 2: The pie whisperer. (4 August 2015),Identify the contents of pies without breaching the pastry.,Tim Key,5
150,45,Series 1,Episode 2: The pie whisperer. (4 August 2015),Do something that will look impressive in reverse.,Frank Skinner,1
151,46,Series 1,Episode 2: The pie whisperer. (4 August 2015),Do something that will look impressive in reverse.,Josh Widdicombe,4
152,47,Series 1,Episode 2: The pie whisperer. (4 August 2015),Do something that will look impressive in reverse.,Roisin Conaty,5
153,48,Series 1,Episode 2: The pie whisperer. (4 August 2015),Do something that will look impressive in reverse.,Romesh Ranganathan,5
154,49,Series 1,Episode 2: The pie whisperer. (4 August 2015),Do something that will look impressive in reverse.,Tim Key,3
155,50,Series 1,Episode 2: The pie whisperer. (4 August 2015),"Live: Crack the code, unshackle yourself and sprint 1 metre.",Frank Skinner,1
156,51,Series 1,Episode 2: The pie whisperer. (4 August 2015),"Live: Crack the code, unshackle yourself and sprint 1 metre.",Josh Widdicombe,3
157,52,Series 1,Episode 2: The pie whisperer. (4 August 2015),"Live: Crack the code, unshackle yourself and sprint 1 metre.",Roisin Conaty,5
158,53,Series 1,Episode 2: The pie whisperer. (4 August 2015),"Live: Crack the code, unshackle yourself and sprint 1 metre.",Romesh Ranganathan,4
159,54,Series 1,Episode 2: The pie whisperer. (4 August 2015),"Live: Crack the code, unshackle yourself and sprint 1 metre.",Tim Key,2
160,55,Series 1,Episode 3: The poet and the egg. (11 August 2015),Prize: Most meaningful item,Frank Skinner,4
161,56,Series 1,Episode 3: The poet and the egg. (11 August 2015),Prize: Most meaningful item,Josh Widdicombe,2
162,57,Series 1,Episode 3: The poet and the egg. (11 August 2015),Prize: Most meaningful item,Roisin Conaty,1
163,58,Series 1,Episode 3: The poet and the egg. (11 August 2015),Prize: Most meaningful item,Romesh Ranganathan,5
164,59,Series 1,Episode 3: The poet and the egg. (11 August 2015),Prize: Most meaningful item,Tim Key,3
165,60,Series 1,Episode 3: The poet and the egg. (11 August 2015),Throw a tea bag into a mug from the furthest distance away.,Frank Skinner,4
166,61,Series 1,Episode 3: The poet and the egg. (11 August 2015),Throw a tea bag into a mug from the furthest distance away.,Josh Widdicombe,0
167,62,Series 1,Episode 3: The poet and the egg. (11 August 2015),Throw a tea bag into a mug from the furthest distance away.,Roisin Conaty,2
168,63,Series 1,Episode 3: The poet and the egg. (11 August 2015),Throw a tea bag into a mug from the furthest distance away.,Romesh Ranganathan,3
169,64,Series 1,Episode 3: The poet and the egg. (11 August 2015),Throw a tea bag into a mug from the furthest distance away.,Tim Key,5
170,65,Series 1,Episode 3: The poet and the egg. (11 August 2015),"Using this GPS device to track your route, create the best image for the Taskmaster",Frank Skinner,2
171,66,Series 1,Episode 3: The poet and the egg. (11 August 2015),"Using this GPS device to track your route, create the best image for the Taskmaster",Josh Widdicombe,5
172,67,Series 1,Episode 3: The poet and the egg. (11 August 2015),"Using this GPS device to track your route, create the best image for the Taskmaster",Roisin Conaty,1
173,68,Series 1,Episode 3: The poet and the egg. (11 August 2015),"Using this GPS device to track your route, create the best image for the Taskmaster",Romesh Ranganathan,4
174,69,Series 1,Episode 3: The poet and the egg. (11 August 2015),"Using this GPS device to track your route, create the best image for the Taskmaster",Tim Key,3
175,70,Series 1,Episode 3: The poet and the egg. (11 August 2015),Buy the best present for the Taskmaster with £20.,Frank Skinner,3
176,71,Series 1,Episode 3: The poet and the egg. (11 August 2015),Buy the best present for the Taskmaster with £20.,Josh Widdicombe,5
177,72,Series 1,Episode 3: The poet and the egg. (11 August 2015),Buy the best present for the Taskmaster with £20.,Roisin Conaty,4
178,73,Series 1,Episode 3: The poet and the egg. (11 August 2015),Buy the best present for the Taskmaster with £20.,Romesh Ranganathan,2
179,74,Series 1,Episode 3: The poet and the egg. (11 August 2015),Buy the best present for the Taskmaster with £20.,Tim Key,1
180,75,Series 1,Episode 3: The poet and the egg. (11 August 2015),Get this egg as high as possible without breaking it.,Frank Skinner,0
181,76,Series 1,Episode 3: The poet and the egg. (11 August 2015),Get this egg as high as possible without breaking it.,Josh Widdicombe,5
182,77,Series 1,Episode 3: The poet and the egg. (11 August 2015),Get this egg as high as possible without breaking it.,Roisin Conaty,0
183,78,Series 1,Episode 3: The poet and the egg. (11 August 2015),Get this egg as high as possible without breaking it.,Romesh Ranganathan,4
184,79,Series 1,Episode 3: The poet and the egg. (11 August 2015),Get this egg as high as possible without breaking it.,Tim Key,0
185,80,Series 1,Episode 3: The poet and the egg. (11 August 2015),Live: Stand up after 100 seconds.,Frank Skinner,2
186,81,Series 1,Episode 3: The poet and the egg. (11 August 2015),Live: Stand up after 100 seconds.,Josh Widdicombe,5
187,82,Series 1,Episode 3: The poet and the egg. (11 August 2015),Live: Stand up after 100 seconds.,Roisin Conaty,1
188,83,Series 1,Episode 3: The poet and the egg. (11 August 2015),Live: Stand up after 100 seconds.,Romesh Ranganathan,4
189,84,Series 1,Episode 3: The poet and the egg. (11 August 2015),Live: Stand up after 100 seconds.,Tim Key,4
190,85,Series 1,Episode 3: The poet and the egg. (11 August 2015),What is Frank Skinner's age in minutes?,Frank Skinner,0
191,86,Series 1,Episode 3: The poet and the egg. (11 August 2015),What is Frank Skinner's age in minutes?,Josh Widdicombe,1
192,87,Series 1,Episode 3: The poet and the egg. (11 August 2015),What is Frank Skinner's age in minutes?,Roisin Conaty,0
193,88,Series 1,Episode 3: The poet and the egg. (11 August 2015),What is Frank Skinner's age in minutes?,Romesh Ranganathan,0
194,89,Series 1,Episode 3: The poet and the egg. (11 August 2015),What is Frank Skinner's age in minutes?,Tim Key,0
195,90,Series 1,Episode 4: Down an octave. (18 August 2015),Prize: Most beautiful item.,Frank Skinner,3
196,91,Series 1,Episode 4: Down an octave. (18 August 2015),Prize: Most beautiful item.,Josh Widdicombe,4
197,92,Series 1,Episode 4: Down an octave. (18 August 2015),Prize: Most beautiful item.,Roisin Conaty,2
198,93,Series 1,Episode 4: Down an octave. (18 August 2015),Prize: Most beautiful item.,Romesh Ranganathan,1
199,94,Series 1,Episode 4: Down an octave. (18 August 2015),Prize: Most beautiful item.,Tim Key,5
200,95,Series 1,Episode 4: Down an octave. (18 August 2015),Make this ice block disappear as fast as possible.,Frank Skinner,4
201,96,Series 1,Episode 4: Down an octave. (18 August 2015),Make this ice block disappear as fast as possible.,Josh Widdicombe,5
202,97,Series 1,Episode 4: Down an octave. (18 August 2015),Make this ice block disappear as fast as possible.,Roisin Conaty,3
203,98,Series 1,Episode 4: Down an octave. (18 August 2015),Make this ice block disappear as fast as possible.,Romesh Ranganathan,2
204,99,Series 1,Episode 4: Down an octave. (18 August 2015),Make this ice block disappear as fast as possible.,Tim Key,1
205,100,Series 1,Episode 4: Down an octave. (18 August 2015),Team: Get to 11 points as fast as possible.,Frank Skinner,1
206,101,Series 1,Episode 4: Down an octave. (18 August 2015),Team: Get to 11 points as fast as possible.,Josh Widdicombe,2
